PMRP_SUBJECT_ID,EXOME_ID
2244,MC.AMD100062@0124011380
2258,6308473-1-0238042101
2264,2392905-1-0238062279
2267,MC.161366@1075642029
2268,
2273,5733658-1-0238040695
2283,MC.AMD105105@0124011382
2291,MC.AMD106365@0123890702
2297,1429579-1-0238042118
2299,MC.156567@1075642024
2301,MC.AMD100118@0124011375
2310,MC.159914@1075642023
2311,5341506-1-0238042126
2330,MC.AMD100975@0123890489
2332,MC.AMD130885@0124011358
2340,
2356,MC.158022@1075642060
2374,MC.161387@1075642048
2379,MC.160995@1075642042
2394,MC.159412@1075680456
2404,MC.AMD119824@0123890487
2409,MC.AMD105578@0123890491
2411,MC.157670@1075642071
2414,5551858-1-0238042103
2415,MC.158222@1075642043
2416,MC.158239@1075642039
2417,
2419,
2422,MC.AMD115380@0123890695
2431,MC.159874@1075642094
2439,5675578-1-0238041972
2442,MC.161301@1075642077
2443,MC.AMD121164@0123890485
2444,MC.AMD107262@0124011362
2474,MC.AMD110033@0124011372
2481,MC.AMD100163@0124011338
2482,MC.AMD106705@0124011339
2485,MC.AMD110358@0123890479
2486,MC.AMD116781@0123890474
2490,9924837-1-0238042029
2499,1683004-1-0238042045
2500,MC.AMD127638@0124011352
2506,1634479-1-0238041998
2522,3013184-1-0238041966
2524,7241304-1-0238042037
2526,3360952-1-0238042021
2536,
2539,MC.AMD135601@0123889991
2542,MC.157232@1075642096
2550,MC.AMD100211@0123909111
2555,MC.158360@1075642101
2556,MC.156290@1075642082
2566,MC.157085@1075642070
2568,2516944-1-0238042024
2580,MC.AMD134921@0123890476
2583,4805809-1-0238041958
2584,MC.160669@1075642104
2588,MC.157885@1075642091
2591,MC.157379@1075642092
2594,MC.157858@1075642088
2603,
2619,MC.160761@1075642115
2625,MC.158624@1075642111
2633,MC.157803@1075642114
2637,
2638,MC.AMD102726@0123890462
2650,5072571-1-0238041985
2651,2107953-1-0238041070
2667,MC.161336@1075642121
2673,2143422-1-0238042040
2678,MC.AMD107195@0123890451
2687,
2693,MC.AMD109526@0123890459
2698,2106890-1-0238042041
2702,MC.159105@1075642135
2708,MC.AMD102512@0123890458
2728,9175892-1-0238042411
2729,MC.AMD100250@0123890443
2736,MC.158097@1075642146
2743,9398323-1-0238041970
2780,9822499-1-0238042395
2787,MC.AMD101444@0123889986
2790,MC.AMD125919@0124011322
2793,MC.AMD111701@0123890435
2806,MC.AMD101142@0124011303
2812,9640146-1-0238042382
2815,MC.AMD119540@0123890437
2823,MC.159860@1075642160
2828,3147935-1-0238095032
2849,7974556-1-0238040857
2864,MC.AMD104004@0124011313
2878,
2879,MC.AMD111363@0123889985
2880,5464749-1-0238042351
2881,MC.AMD108418@0124011274
2883,MC.AMD100449@0123890402
2889,MC.161231@1075642171
2893,MC.AMD118681@0123890405
2896,MC.AMD101371@0123890410
2910,MC.AMD100363@0123890418
2914,MC.159164@1075642167
2916,MC.158968@1075642169
2917,MC.158843@1075642177
2933,7429092-1-0238042354
2936,MC.159955@1075642188
2948,MC.AMD108011@0123890409
2949,MC.161383@1075641353
2950,MC.AMD109518@0124011299
2965,MC.160480@1075642189
2987,MC.157695@1075642183
2989,
2993,MC.160202@1075680470
2996,MC.159659@1075641359
3000,7546556-1-0238042369
3004,MC.159573@1075641339
3014,MC.160778@1075641355
3022,MC.160525@1075641364
3043,MC.157846@1075641341
3049,MC.AMD103998@0124011284
3052,7374760-1-0238042385
3061,MC.AMD106598@0124011268
3064,MC.157532@1075641349
3066,MC.157438@1075641386
3070,MC.AMD135014@0124011273
3074,MC.158313@1075641369
3076,
3081,MC.AMD136209@0123890566
3083,MC.AMD104158@0124011282
3088,MC.AMD109023@0123889998
3089,1153744-1-0238042852
3094,2392852-1-0238042851
3097,MC.160097@1075641362
3099,MC.160016@1075641371
3104,MC.AMD101354@0123890561
3106,MC.AMD100465@0123890559
3111,MC.161234@1075641365
3118,
3119,
3121,
3125,MC.AMD106799@0123890558
3132,6274010-1-0238042426
3137,MC.AMD102482@0123889730
3148,MC.AMD101118@0124011546
3150,MC.158056@1075641378
3152,5767727-1-0238042853
3153,1672303-1-0238042829
3157,9004121-1-0238042821
3158,MC.AMD103506@0123890549
3162,MC.AMD129830@0124011550
3170,8641460-1-0238042893
3180,MC.159159@1075638274
3194,6428714-1-0238042862
3203,MC.AMD111867@0123890542
3222,MC.AMD132635@0123890541
3228,5710714-1-0238042854
3238,MC.AMD109003@0123890543
3266,
3279,7064465-1-0238040889
3288,8744180-1-0238042904
3301,7802634-1-0238042888
3316,1320654-1-0238042849
3332,MC.AMD100245@0124011518
3336,MC.AMD100347@0123890525
3343,MC.AMD108507@0123890524
3345,MC.AMD111304@0123890527
3354,MC.158198@1075641416
3360,MC.157698@1075641426
3361,MC.158236@1075641428
3376,MC.159854@1075641420
3381,MC.AMD119835@0123909104
3384,MC.159772@1075641431
3391,MC.AMD108837@0123907478
3407,MC.AMD105698@0123890518
3411,MC.157804@1075641432
3425,MC.158388@1075641441
3430,MC.AMD103603@0123890510
3435,MC.AMD110192@0124011512
3439,MC.159184@1075641720
3444,MC.159263@1075641442
3452,8339729-1-0238042957
3454,6885225-1-0238042941
3460,
3482,MC.160547@1075641452
3486,MC.AMD107069@0124011495
3495,MC.158050@1075641449
3506,1543915-1-0238042982
3510,MC.161263@1075641448
3512,
3516,8908879-1-0238042989
3518,MC.160548@1075641450
3525,
3536,MC.AMD131151@0123890393
3538,2026572-1-0238042812
3542,5622446-1-0238042944
3555,MC.AMD101951@0123890397
3568,MC.AMD131146@0123861348
3570,
3574,MC.AMD132624@0124011484
3578,MC.159113@1075641463
3580,MC.AMD108473@0124011482
3585,MC.AMD108829@0123890392
3587,MC.158998@1075641509
3589,MC.AMD115102@0124011487
3604,5890613-1-0238040850
3614,
3624,MC.AMD100056@0123890333
3628,
3636,MC.158087@1075641518
3645,MC.158657@1075641517
